CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,GPS_WEEKS,GPS_SECONDS,GPS_FRAC_SECS,ECEF_X,ECEF_Y,ECEF_Z,VEL_X,VEL_Y,VEL_Z,LAT,LON,ALT
2161,50475,83,358,0,0,341,150576,0.438,-1310000,-6314000,2081000,4767,861.1,5562,17.58125877,-102.0465088,399416.3438
2161,50476,83,358,16384,0,341,150576,0.688,-1309000,-6313000,2082000,4768,862.9,5562,17.58125877,-102.0465088,399416.3438
2161,50477,83,358,32768,0,341,150576,0.688,-1309000,-6313000,2082000,4768,862.9,5562,18.01421738,-101.7001266,399373.4063
2161,50478,83,358,49152,0,341,150577,0.188,-1306000,-6313000,2085000,4769,866.6,5560,18.01421738,-101.7001266,399373.4063
2161,50479,83,359,0,0,341,150577,0.438,-1305000,-6313000,2086000,4769,868.5,5560,18.01421738,-101.7001266,399373.4063
2161,50480,83,359,16384,0,341,150577,0.688,-1304000,-6313000,2088000,4769,870.3,5559,18.01421738,-101.7001266,399373.4063
2161,50481,83,359,32768,0,341,150577,0.938,-1303000,-6312000,2089000,4770,872.2,5558,18.01421738,-101.7001266,399373.4063
2161,50482,83,359,49152,0,341,150578,0.188,-1302000,-6312000,2090000,4770,874,5558,18.01421738,-101.7001266,399373.4063
2161,50483,83,360,0,0,341,150578,0.438,-1300000,-6312000,2092000,4771,875.8,5557,18.01421738,-101.7001266,399373.4063
2161,50484,83,360,16384,0,341,150578,0.688,-1299000,-6312000,2093000,4771,877.7,5556,18.01421738,-101.7001266,399373.4063
2161,50485,83,360,32768,0,341,150578,0.938,-1298000,-6312000,2094000,4772,879.5,5556,18.01421738,-101.7001266,399373.4063
2161,50486,83,360,49152,0,341,150579,0.188,-1297000,-6311000,2096000,4772,881.3,5555,18.01421738,-101.7001266,399373.4063
2161,50487,83,361,0,0,341,150579,0.438,-1296000,-6311000,2097000,4773,883.2,5554,18.01421738,-101.7001266,399373.4063
2161,50488,83,361,16384,0,341,150579,0.688,-1294000,-6311000,2099000,4773,885.1,5554,18.01421738,-101.7001266,399373.4063
2161,50489,83,361,32768,0,341,150579,0.938,-1293000,-6311000,2100000,4773,886.9,5553,18.01421738,-101.7001266,399373.4063
2161,50490,83,361,49152,0,341,150580,0.188,-1292000,-6310000,2101000,4774,888.7,5552,18.01421738,-101.7001266,399373.4063
2161,50491,83,362,0,0,341,150580,0.438,-1291000,-6310000,2103000,4774,890.5,5552,18.01421738,-101.7001266,399373.4063
2161,50492,83,362,16384,0,341,150580,0.688,-1290000,-6310000,2104000,4775,892.4,5551,18.01421738,-101.7001266,399373.4063
2161,50493,83,362,32768,0,341,150580,0.938,-1288000,-6310000,2105000,4775,894.2,5550,18.01421738,-101.7001266,399373.4063
2161,50494,83,362,49152,0,341,150581,0.188,-1287000,-6310000,2107000,4776,896.1,5550,18.01421738,-101.7001266,399373.4063
2161,50495,83,363,0,0,341,150581,0.188,-1287000,-6310000,2107000,4776,896.1,5550,18.23635101,-101.5215836,399352.8438
2161,50496,83,363,16384,0,341,150581,0.688,-1285000,-6309000,2110000,4777,899.8,5548,18.23635101,-101.5215836,399352.8438
2161,50497,83,363,32768,0,341,150581,0.938,-1284000,-6309000,2111000,4777,901.6,5548,18.23635101,-101.5215836,399352.8438
2161,50498,83,363,49152,0,341,150582,0.188,-1283000,-6309000,2112000,4777,903.4,5547,18.23635101,-101.5215836,399352.8438
2161,50499,83,364,0,0,341,150582,0.438,-1281000,-6308000,2114000,4778,905.3,5546,18.23635101,-101.5215836,399352.8438
2161,50500,83,364,16384,0,341,150582,0.688,-1280000,-6308000,2115000,4778,907.1,5546,18.23635101,-101.5215836,399352.8438
2161,50501,83,364,32768,0,341,150582,0.938,-1279000,-6308000,2117000,4779,909,5545,18.23635101,-101.5215836,399352.8438
2161,50502,83,364,49152,0,341,150583,0.188,-1278000,-6308000,2118000,4779,910.8,5544,18.23635101,-101.5215836,399352.8438
2161,50503,83,365,0,0,341,150583,0.438,-1277000,-6308000,2119000,4780,912.6,5543,18.23635101,-101.5215836,399352.8438
2161,50504,83,365,16384,0,341,150583,0.688,-1275000,-6307000,2121000,4780,914.4,5543,18.23635101,-101.5215836,399352.8438
2161,50505,83,365,32768,0,341,150583,0.938,-1274000,-6307000,2122000,4781,916.3,5542,18.23635101,-101.5215836,399352.8438
2161,50506,83,365,49152,0,341,150584,0.188,-1273000,-6307000,2123000,4781,918.1,5541,18.23635101,-101.5215836,399352.8438
2161,50507,83,366,0,0,341,150584,0.438,-1272000,-6307000,2125000,4781,919.9,5541,18.23635101,-101.5215836,399352.8438
2161,50508,83,366,16384,0,341,150584,0.688,-1271000,-6306000,2126000,4782,921.8,5540,18.23635101,-101.5215836,399352.8438
2161,50509,83,366,32768,0,341,150584,0.938,-1269000,-6306000,2128000,4782,923.7,5539,18.23635101,-101.5215836,399352.8438
2161,50510,83,366,49807,0,341,150585,0.188,-1268000,-6306000,2129000,4783,925.5,5539,18.23635101,-101.5215836,399352.8438
2161,50511,83,367,655,0,341,150585,0.438,-1267000,-6306000,2130000,4783,927.3,5538,18.23635101,-101.5215836,399352.8438
2161,50512,83,367,17039,0,341,150585,0.438,-1267000,-6306000,2130000,4783,927.3,5538,18.44629478,-101.3520355,399331.5313
2161,50513,83,367,33423,0,341,150585,0.938,-1265000,-6305000,2133000,4784,931,5537,18.44629478,-101.3520355,399331.5313
2161,50514,83,367,49807,0,341,150586,0.188,-1264000,-6305000,2134000,4784,932.8,5536,18.44629478,-101.3520355,399331.5313
2161,50515,83,368,655,0,341,150586,0.438,-1262000,-6305000,2136000,4785,934.7,5535,18.44629478,-101.3520355,399331.5313
2161,50516,83,368,17039,0,341,150586,0.688,-1261000,-6305000,2137000,4785,936.5,5535,18.44629478,-101.3520355,399331.5313
2161,50517,83,368,33423,0,341,150586,0.938,-1260000,-6304000,2139000,4786,938.4,5534,18.44629478,-101.3520355,399331.5313
2161,50518,83,368,49807,0,341,150587,0.188,-1259000,-6304000,2140000,4786,940.2,5533,18.44629478,-101.3520355,399331.5313
2161,50519,83,369,655,0,341,150587,0.438,-1258000,-6304000,2141000,4787,942,5533,18.44629478,-101.3520355,399331.5313
2161,50520,83,369,17039,0,341,150587,0.688,-1256000,-6304000,2143000,4787,943.9,5532,18.44629478,-101.3520355,399331.5313
2161,50521,83,369,33423,0,341,150587,0.938,-1255000,-6303000,2144000,4787,945.7,5531,18.44629478,-101.3520355,399331.5313
2161,50522,83,369,49807,0,341,150588,0.188,-1254000,-6303000,2145000,4788,947.5,5531,18.44629478,-101.3520355,399331.5313
2161,50523,83,370,655,0,341,150588,0.438,-1253000,-6303000,2147000,4788,949.4,5530,18.44629478,-101.3520355,399331.5313
2161,50524,83,370,17039,0,341,150588,0.688,-1252000,-6303000,2148000,4789,951.2,5529,18.44629478,-101.3520355,399331.5313
2161,50525,83,370,33423,0,341,150588,0.938,-1250000,-6302000,2150000,4789,953,5528,18.44629478,-101.3520355,399331.5313
2161,50526,83,370,49807,0,341,150589,0.188,-1249000,-6302000,2151000,4790,954.9,5528,18.44629478,-101.3520355,399331.5313
2161,50527,83,371,655,0,341,150589,0.438,-1248000,-6302000,2152000,4790,956.8,5527,18.44629478,-101.3520355,399331.5313
2161,50528,83,371,17694,0,341,150589,0.688,-1247000,-6302000,2154000,4791,958.6,5526,18.44629478,-101.3520355,399331.5313
2161,50529,83,371,34078,0,341,150589,0.938,-1246000,-6301000,2155000,4791,960.4,5526,18.44629478,-101.3520355,399331.5313
2161,50530,83,371,50462,0,341,150589,0.938,-1246000,-6301000,2155000,4791,960.4,5526,18.66854477,-101.1719589,399293.9688
2161,50531,83,372,1310,0,341,150590,0.438,-1243000,-6301000,2158000,4792,964.1,5524,18.66854477,-101.1719589,399293.9688
2161,50532,83,372,17694,0,341,150590,0.688,-1242000,-6301000,2159000,4792,966,5524,18.66854477,-101.1719589,399293.9688
2161,50533,83,372,34078,0,341,150590,0.938,-1241000,-6300000,2161000,4793,967.8,5523,18.66854477,-101.1719589,399293.9688
2161,50534,83,372,50462,0,341,150591,0.188,-1240000,-6300000,2162000,4793,969.6,5522,18.66854477,-101.1719589,399293.9688
2161,50535,83,373,1310,0,341,150591,0.438,-1238000,-6300000,2163000,4794,971.5,5522,18.66854477,-101.1719589,399293.9688
2161,50536,83,373,17694,0,341,150591,0.688,-1237000,-6300000,2165000,4794,973.3,5521,18.66854477,-101.1719589,399293.9688
2161,50537,83,373,34078,0,341,150591,0.938,-1236000,-6300000,2166000,4794,975.1,5520,18.66854477,-101.1719589,399293.9688
2161,50538,83,373,50462,0,341,150592,0.188,-1235000,-6299000,2167000,4795,976.9,5519,18.66854477,-101.1719589,399293.9688
2161,50539,83,374,1310,0,341,150592,0.438,-1234000,-6299000,2169000,4795,978.7,5519,18.66854477,-101.1719589,399293.9688
2161,50540,83,374,17694,0,341,150592,0.688,-1233000,-6299000,2170000,4796,980.6,5518,18.66854477,-101.1719589,399293.9688
2161,50541,83,374,34078,0,341,150592,0.938,-1231000,-6299000,2172000,4796,982.5,5517,18.66854477,-101.1719589,399293.9688
2161,50542,83,374,50462,0,341,150593,0.188,-1230000,-6298000,2173000,4797,984.3,5517,18.66854477,-101.1719589,399293.9688
2161,50543,83,375,1310,0,341,150593,0.438,-1229000,-6298000,2174000,4797,986.1,5516,18.66854477,-101.1719589,399293.9688
2161,50544,83,375,17694,0,341,150593,0.688,-1228000,-6298000,2176000,4797,988,5515,18.66854477,-101.1719589,399293.9688
2161,50545,83,375,34078,0,341,150593,0.938,-1227000,-6298000,2177000,4798,989.8,5515,18.66854477,-101.1719589,399293.9688
2161,50546,83,375,50462,0,341,150594,0.188,-1225000,-6297000,2178000,4798,991.6,5514,18.66854477,-101.1719589,399293.9688
2161,50547,83,376,1310,0,341,150594,0.438,-1224000,-6297000,2180000,4799,993.4,5513,18.66854477,-101.1719589,399293.9688
2161,50548,83,376,18350,0,341,150594,0.688,-1223000,-6297000,2181000,4799,995.3,5513,18.66854477,-101.1719589,399293.9688
2161,50549,83,376,34734,0,341,150594,0.938,-1222000,-6297000,2183000,4800,997.1,5512,18.66854477,-101.1719589,399293.9688
2161,50550,83,376,51118,0,341,150595,0.188,-1221000,-6296000,2184000,4800,999,5511,18.66854477,-101.1719589,399293.9688
2161,50551,83,377,1966,0,341,150595,0.438,-1219000,-6296000,2185000,4800,1001,5510,18.66854477,-101.1719589,399293.9688
2161,50552,83,377,18350,0,341,150595,0.688,-1218000,-6296000,2187000,4801,1003,5510,18.66854477,-101.1719589,399293.9688
2161,50553,83,377,34734,0,341,150595,0.938,-1217000,-6296000,2188000,4801,1004,5509,18.66854477,-101.1719589,399293.9688
2161,50554,83,377,51118,0,341,150596,0.188,-1216000,-6295000,2189000,4802,1006,5508,18.66854477,-101.1719589,399293.9688
2161,50555,83,378,1966,0,341,150596,0.438,-1215000,-6295000,2191000,4802,1008,5508,18.66854477,-101.1719589,399293.9688
2161,50556,83,378,18350,0,341,150596,0.688,-1213000,-6295000,2192000,4803,1010,5507,18.66854477,-101.1719589,399293.9688
2161,50557,83,378,34734,0,341,150596,0.938,-1212000,-6295000,2194000,4803,1012,5506,18.66854477,-101.1719589,399293.9688
2161,50558,83,378,51118,0,341,150597,0.188,-1211000,-6294000,2195000,4803,1014,5505,18.66854477,-101.1719589,399293.9688
2161,50559,83,379,1966,0,341,150597,0.438,-1210000,-6294000,2196000,4804,1015,5505,18.66854477,-101.1719589,399293.9688
2161,50560,83,379,18350,0,341,150597,0.688,-1209000,-6294000,2198000,4804,1017,5504,18.66854477,-101.1719589,399293.9688
2161,50561,83,379,34734,0,341,150597,0.938,-1207000,-6294000,2199000,4805,1019,5503,18.66854477,-101.1719589,399293.9688
2161,50562,83,379,51118,0,341,150598,0.188,-1206000,-6293000,2200000,4805,1021,5503,18.66854477,-101.1719589,399293.9688
2161,50563,83,380,1966,0,341,150598,0.438,-1205000,-6293000,2202000,4805,1023,5502,18.66854477,-101.1719589,399293.9688
2161,50564,83,380,18350,0,341,150598,0.688,-1204000,-6293000,2203000,4806,1025,5501,18.66854477,-101.1719589,399293.9688
2161,50565,83,380,34734,0,341,150598,0.938,-1203000,-6293000,2204000,4806,1026,5501,18.66854477,-101.1719589,399293.9688
