sample_index,t,risk,state,flags,flags_dec,time,pos,vel,imu,stale,heading,stationary,innovation,rejected,raw_line
1,206387082.421,0.7,2,0x0015,21,1,0,1,0,1,0,0,0,0,"AS,t=206387082.421,risk=0.70,state=2,flags=0x0015,time=1,pos=0,vel=1,imu=0,stale=1,heading=0,stationary=0,innovation=0,rejected=0"
2,206387082.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387082.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
3,206387082.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387082.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
4,206387083.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387083.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
5,206387083.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387083.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
6,206387083.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387083.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
7,206387084.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387084.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
8,206387084.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387084.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
9,206387084.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387084.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
10,206387084.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387084.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
11,206387085.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387085.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
12,206387085.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387085.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
13,206387085.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387085.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
14,206387085.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387085.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
15,206387086.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387086.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
