CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,X_LINEAR_ACCELERATION,X_ANGULAR_RATE,Y_LINEAR_ACCELERATION,Y_ANGULAR_RATE,Z_LINEAR_ACCELERATION,Z_ANGULAR_RATE
2342,49203,33,62,1310,0,-0.001496635,0.004300475,0.001431741,0.003489852,-0.003934465,-0.030532479
2342,49204,33,63,1310,0,-0.001347028,-0.005999207,-0.000110827,0.003871322,-0.003188811,-0.029245019
2342,49205,33,64,1310,0,-0.001366697,0.003919005,0.001418628,0.002965331,-0.003315769,-0.028386712
2342,49206,33,65,1310,0,-0.001270138,-0.006118417,-7.86409E-05,0.003728271,-0.002652965,-0.028434396
2342,49207,33,66,1310,0,-0.001329742,0.005921721,0.001716651,0.003775954,-0.002294146,-0.027266145
2342,49208,33,67,1310,0,-0.001146756,-0.00731051,-0.000201426,0.003251433,-0.002110563,-0.026288629
2342,49209,33,68,1310,0,-0.00131961,0.006350875,0.001822747,0.002345443,-0.002429448,-0.02643168
2342,49210,33,69,1310,0,-0.00108894,-0.009122491,-0.000432096,0.003251433,-0.001567565,-0.025120378
2342,49211,33,70,1310,0,-0.001186691,0.006636977,0.001817979,0.003346801,-0.001310669,-0.024262071
2342,49212,33,71,1310,0,-0.000984631,-0.007668138,-0.000203215,0.002917647,-0.001286231,-0.024309754
2342,49213,33,72,1310,0,-0.001226626,0.008067489,0.002030171,0.002011657,-0.001469217,-0.02309382
2342,49214,33,73,1310,0,-0.000856481,-0.008788705,-0.000343882,0.002965331,-0.000718795,-0.022116303
2342,49215,33,74,1310,0,-0.001070462,0.007352233,0.001872815,0.003156066,-0.000486337,-0.021591783
2342,49216,33,75,1310,0,-0.000738464,-0.008001924,-0.000234209,0.002774596,-0.000410639,-0.020638108
2342,49217,33,76,1310,0,-0.001073442,0.008115172,0.001949109,0.001963973,-0.000642501,-0.020089746
2342,49218,33,77,1310,0,-0.00068482,-0.008407235,-0.000295006,0.002965331,-2.9169E-05,-0.020113587
2342,49219,33,78,1310,0,-0.000977479,0.008067489,0.001891889,0.003156066,0.000244416,-0.01925528
2342,49220,33,79,1310,0,-0.000594817,-0.0082165,-0.000287257,0.003537536,0.000513829,-0.019326806
2342,49221,33,80,1310,0,-0.000947081,0.008353591,0.001890697,0.002774596,0.00034932,-0.018110871
2342,49222,33,81,1310,0,-0.000492893,-0.007978082,-0.000262819,0.002488494,0.00034932,-0.017157197
2342,49223,33,82,1310,0,-0.000922047,0.008687377,0.001896657,0.002774596,0.0005937,-0.017276406
2342,49224,33,83,1310,0,-0.000449382,-0.007453561,-0.000210963,0.003156066,0.000829734,-0.017347932
2342,49225,33,84,1310,0,-0.000811182,0.007638335,0.001711883,0.002488494,0.000677146,-0.016108155
2342,49226,33,85,1310,0,-0.000368319,-0.008550286,-0.000373684,0.002297759,0.000649728,-0.015154481
2342,49227,33,86,1310,0,-0.000805221,0.008258224,0.001747645,0.002631545,0.00092987,-0.015249848
2342,49228,33,87,1310,0,-0.00032004,-0.007715821,-0.000286661,0.003108382,0.001155175,-0.015321374
2342,49229,33,88,1310,0,-0.000820123,0.009211898,0.001803674,0.002774596,0.001162328,-0.014081597
2342,49230,33,89,1310,0,-0.000199638,-0.006642938,-0.000202619,0.003251433,0.001363792,-0.013175607
2342,49231,33,90,1310,0,-0.000632964,0.007113814,0.001491345,0.003013015,0.001390018,-0.013270974
2342,49232,33,91,1310,0,-0.000203215,-0.007286668,-0.000286065,0.002869964,0.001300611,-0.0133425
2342,49233,33,92,1310,0,-0.000677072,0.008019805,0.001548566,0.002297759,0.001162328,-0.012078881
2342,49234,33,93,1310,0,-0.000101887,-0.007835031,-0.000404082,0.002869964,0.001373328,-0.011172891
2342,49235,33,94,1310,0,-0.000706874,0.009211898,0.00159625,0.002631545,0.001411475,-0.010576844
2342,49236,33,95,1310,0,-7.9833E-05,-0.00666678,-0.000280105,0.002583861,0.001298226,-0.01064837
2342,49237,33,96,1310,0,-0.000566803,0.007018447,0.001351871,0.00205934,0.001199283,-0.010696054
2342,49238,33,97,1310,0,-5.59911E-05,-0.00859797,-0.000530444,0.00205934,0.00111226,-0.009766221
2342,49239,33,98,1310,0,-0.000635944,0.008258224,0.001416244,0.001582503,0.001001395,-0.009146333
2342,49240,33,99,1310,0,-1.78441E-05,-0.007644296,-0.000438653,0.002250075,0.001223125,-0.009217858
2342,49241,33,100,1310,0,-0.000693761,0.009354949,0.001541413,0.00205934,0.00129465,-0.009265542
2342,49242,33,101,1310,0,1.07661E-05,-0.006571412,-0.000342093,0.002011657,0.001144446,-0.008311868
2342,49243,33,102,1310,0,-0.000507198,0.007066131,0.00118617,0.001582503,0.001050271,-0.007691979
2342,49244,33,103,1310,0,3.81842E-05,-0.007620454,-0.000489913,0.001630187,0.000972785,-0.007405877
2342,49245,33,104,1310,0,-0.000678264,0.009211898,0.001418628,0.00115335,0.000901259,-0.007429719
2342,49246,33,105,1310,0,6.91786E-05,-0.006762147,-0.000416599,0.001820922,0.001077689,-0.006833673
2342,49247,33,106,1310,0,-0.000456534,0.006875396,0.001093186,0.001820922,0.001168288,-0.006523728
2342,49248,33,107,1310,0,8.706E-05,-0.00757277,-0.000518523,0.001868606,0.001100339,-0.006595254
2342,49249,33,108,1310,0,-0.000646077,0.009307265,0.001329221,0.001439452,0.001022853,-0.005951524
2342,49250,33,109,1310,0,0.000100173,-0.006714463,-0.000450574,0.001487136,0.000904836,-0.005665421
2342,49251,33,110,1310,0,-0.000460707,0.006827712,0.001040734,0.001105666,0.000864305,-0.005689263
