CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,GPS_WEEKS,GPS_SECONDS,GPS_FRAC_SECS,ECEF_X,ECEF_Y,ECEF_Z,VEL_X,VEL_Y,VEL_Z,LAT,LON,ALT
2161,49333,83,61,39976,0,341,150279,0.984,-2616000,-6243000,354700,4029,-1342,6029,2.637698412,-113.0028381,400004.5625
2161,49334,83,61,56360,0,341,150280,0.234,-2615000,-6243000,356200,4030,-1340,6029,2.637698412,-113.0028381,400004.5625
2161,49335,83,62,7208,0,341,150280,0.484,-2614000,-6243000,357700,4030,-1338,6029,2.637698412,-113.0028381,400004.5625
2161,49336,83,62,23592,0,341,150280,0.484,-2614000,-6243000,357700,4030,-1338,6029,3.057379723,-112.7104187,399992.4688
2161,49337,83,62,56360,0,341,150281,0.234,-2611000,-6244000,362200,4033,-1333,6029,3.057379723,-112.7104187,399992.4688
2161,49338,83,63,7208,0,341,150281,0.484,-2610000,-6245000,363700,4034,-1331,6029,3.057379723,-112.7104187,399992.4688
2161,49339,83,63,23592,0,341,150281,0.734,-2609000,-6245000,365200,4034,-1329,6028,3.057379723,-112.7104187,399992.4688
2161,49340,83,63,39976,0,341,150281,0.984,-2608000,-6245000,366700,4035,-1327,6028,3.057379723,-112.7104187,399992.4688
2161,49341,83,63,56360,0,341,150282,0.234,-2607000,-6246000,368200,4036,-1325,6028,3.057379723,-112.7104187,399992.4688
2161,49342,83,64,7208,0,341,150282,0.484,-2606000,-6246000,369700,4037,-1323,6028,3.057379723,-112.7104187,399992.4688
2161,49343,83,64,23592,0,341,150282,0.734,-2605000,-6246000,371200,4037,-1322,6028,3.057379723,-112.7104187,399992.4688
2161,49344,83,64,39976,0,341,150282,0.984,-2604000,-6247000,372600,4038,-1320,6028,3.057379723,-112.7104187,399992.4688
2161,49345,83,64,56360,0,341,150283,0.234,-2603000,-6247000,374100,4039,-1318,6028,3.057379723,-112.7104187,399992.4688
2161,49346,83,65,7208,0,341,150283,0.484,-2602000,-6247000,375600,4040,-1316,6028,3.057379723,-112.7104187,399992.4688
2161,49347,83,65,23592,0,341,150283,0.734,-2601000,-6248000,377100,4041,-1314,6028,3.057379723,-112.7104187,399992.4688
2161,49348,83,65,39976,0,341,150283,0.984,-2600000,-6248000,378600,4041,-1312,6027,3.057379723,-112.7104187,399992.4688
2161,49349,83,65,56360,0,341,150284,0.234,-2599000,-6248000,380100,4042,-1311,6027,3.057379723,-112.7104187,399992.4688
2161,49350,83,66,7208,0,341,150284,0.484,-2598000,-6249000,381600,4043,-1309,6027,3.057379723,-112.7104187,399992.4688
2161,49351,83,66,23592,0,341,150284,0.734,-2597000,-6249000,383100,4044,-1307,6027,3.057379723,-112.7104187,399992.4688
2161,49352,83,66,39976,0,341,150284,0.984,-2596000,-6249000,384600,4044,-1305,6027,3.057379723,-112.7104187,399992.4688
2161,49353,83,66,56360,0,341,150284,0.984,-2596000,-6249000,384600,4044,-1305,6027,3.28589797,-112.5511322,399983
2161,49354,83,67,23592,0,341,150285,0.734,-2593000,-6250000,389100,4047,-1299,6027,3.28589797,-112.5511322,399983
2161,49355,83,67,39976,0,341,150285,0.984,-2592000,-6251000,390500,4048,-1298,6026,3.28589797,-112.5511322,399983
2161,49356,83,67,56360,0,341,150286,0.234,-2591000,-6251000,392000,4048,-1296,6026,3.28589797,-112.5511322,399983
2161,49357,83,68,7208,0,341,150286,0.484,-2590000,-6251000,393500,4049,-1294,6026,3.28589797,-112.5511322,399983
2161,49358,83,68,23592,0,341,150286,0.734,-2589000,-6252000,395100,4050,-1292,6026,3.28589797,-112.5511322,399983
2161,49359,83,68,39976,0,341,150286,0.984,-2584000,-6252000,396500,4051,-1290,6026,3.28589797,-112.5511322,399983
2161,49360,83,68,56360,0,341,150287,0.234,-2579000,-6252000,398000,4051,-1288,6026,3.28589797,-112.5511322,399983
2161,49361,83,69,7208,0,341,150287,0.484,-2574000,-6252000,399500,4052,-1286,6026,3.28589797,-112.5511322,399983
2161,49362,83,69,23592,0,341,150287,0.734,-2569000,-6253000,401000,4053,-1285,6026,3.28589797,-112.5511322,399983
2161,49363,83,69,39976,0,341,150287,0.984,-2564000,-6253000,402500,4054,-1283,6025,3.28589797,-112.5511322,399983
2161,49364,83,69,56360,0,341,150288,0.234,-2559000,-6253000,404000,4055,-1281,6025,3.28589797,-112.5511322,399983
2161,49365,83,70,7208,0,341,150288,0.484,-2554000,-6254000,405500,4055,-1279,6025,3.28589797,-112.5511322,399983
2161,49366,83,70,23592,0,341,150288,0.734,-2549000,-6254000,407000,4056,-1277,6025,3.28589797,-112.5511322,399983
2161,49367,83,70,39976,0,341,150288,0.984,-2544000,-6254000,408400,4057,-1275,6025,3.28589797,-112.5511322,399983
2161,49368,83,70,56360,0,341,150289,0.234,-2539000,-6255000,409900,4058,-1274,6025,3.28589797,-112.5511322,399983
2161,49369,83,71,7208,0,341,150289,0.484,-2534000,-6255000,411400,4058,-1272,6025,3.28589797,-112.5511322,399983
2161,49370,83,71,23592,0,341,150289,0.484,-2529000,-6255000,411400,4058,-1272,6025,3.515017748,-112.3912735,399975.6875
2161,49371,83,71,56360,0,341,150290,0.234,-2524000,-6256000,415900,4061,-1266,6024,3.515017748,-112.3912735,399975.6875
