CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,GPS_WEEKS,GPS_SECONDS,GPS_FRAC_SECS,ECEF_X,ECEF_Y,ECEF_Z,VEL_X,VEL_Y,VEL_Z,LAT,LON,ALT
2161,49333,83,61,39976,0,341,150279,0.9839999999967404,-2616000.0,-6243000.0,354700.0,4029.0,-1342.0,6029.0,2.6376984119415283,-113.00283813476562,400004.5625
2161,49334,83,61,56360,0,341,150280,0.23399999999674037,-2615000.0,-6243000.0,356200.0,4030.0,-1340.0,6029.0,2.6376984119415283,-113.00283813476562,400004.5625
2161,49335,83,62,7208,0,341,150280,0.48399999999674037,-2614000.0,-6243000.0,357700.0,4030.0,-1338.0,6029.0,2.6376984119415283,-113.00283813476562,400004.5625
2161,49336,83,62,23592,0,341,150280,0.48399999999674037,-2614000.0,-6243000.0,357700.0,4030.0,-1338.0,6029.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49337,83,62,56360,0,341,150281,0.23399999999674037,-2611000.0,-6244000.0,362200.0,4033.0,-1333.0,6029.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49338,83,63,7208,0,341,150281,0.48399999999674037,-2610000.0,-6245000.0,363700.0,4034.0,-1331.0,6029.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49339,83,63,23592,0,341,150281,0.7339999999967404,-2609000.0,-6245000.0,365200.0,4034.0,-1329.0,6028.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49340,83,63,39976,0,341,150281,0.9839999999967404,-2608000.0,-6245000.0,366700.0,4035.0,-1327.0,6028.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49341,83,63,56360,0,341,150282,0.23399999999674037,-2607000.0,-6246000.0,368200.0,4036.0,-1325.0,6028.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49342,83,64,7208,0,341,150282,0.48399999999674037,-2606000.0,-6246000.0,369700.0,4037.0,-1323.0,6028.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49343,83,64,23592,0,341,150282,0.7339999999967404,-2605000.0,-6246000.0,371200.0,4037.0,-1322.0,6028.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49344,83,64,39976,0,341,150282,0.9839999999967404,-2604000.0,-6247000.0,372600.0,4038.0,-1320.0,6028.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49345,83,64,56360,0,341,150283,0.23399999999674037,-2603000.0,-6247000.0,374100.0,4039.0,-1318.0,6028.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49346,83,65,7208,0,341,150283,0.48399999999674037,-2602000.0,-6247000.0,375600.0,4040.0,-1316.0,6028.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49347,83,65,23592,0,341,150283,0.7339999999967404,-2601000.0,-6248000.0,377100.0,4041.0,-1314.0,6028.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49348,83,65,39976,0,341,150283,0.9839999999967404,-2600000.0,-6248000.0,378600.0,4041.0,-1312.0,6027.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49349,83,65,56360,0,341,150284,0.23399999999674037,-2599000.0,-6248000.0,380100.0,4042.0,-1311.0,6027.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49350,83,66,7208,0,341,150284,0.48399999999674037,-2598000.0,-6249000.0,381600.0,4043.0,-1309.0,6027.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49351,83,66,23592,0,341,150284,0.7339999999967404,-2597000.0,-6249000.0,383100.0,4044.0,-1307.0,6027.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49352,83,66,39976,0,341,150284,0.9839999999967404,-2596000.0,-6249000.0,384600.0,4044.0,-1305.0,6027.0,3.057379722595215,-112.71041870117188,399992.46875
2161,49353,83,66,56360,0,341,150284,0.9839999999967404,-2596000.0,-6249000.0,384600.0,4044.0,-1305.0,6027.0,3.285897970199585,-112.55113220214844,399983.0
2161,49354,83,67,23592,0,341,150285,0.7339999999967404,-2593000.0,-6250000.0,389100.0,4047.0,-1299.0,6027.0,3.285897970199585,-112.55113220214844,399983.0
2161,49355,83,67,39976,0,341,150285,0.9839999999967404,-2592000.0,-6251000.0,390500.0,4048.0,-1298.0,6026.0,3.285897970199585,-112.55113220214844,399983.0
2161,49356,83,67,56360,0,341,150286,0.23399999999674037,-2591000.0,-6251000.0,392000.0,4048.0,-1296.0,6026.0,3.285897970199585,-112.55113220214844,399983.0
2161,49357,83,68,7208,0,341,150286,0.48399999999674037,-2590000.0,-6251000.0,393500.0,4049.0,-1294.0,6026.0,3.285897970199585,-112.55113220214844,399983.0
2161,49358,83,68,23592,0,341,150286,0.7339999999967404,-2589000.0,-6252000.0,395100.0,4050.0,-1292.0,6026.0,3.285897970199585,-112.55113220214844,399983.0
2161,49359,83,68,39976,0,341,150286,0.9839999999967404,-2588000.0,-6252000.0,396500.0,4051.0,-1290.0,6026.0,3.285897970199585,-112.55113220214844,399983.0
2161,49360,83,68,56360,0,341,150287,0.23399999999674037,-2587000.0,-6252000.0,398000.0,4051.0,-1288.0,6026.0,3.285897970199585,-112.55113220214844,399983.0
2161,49361,83,69,7208,0,341,150287,0.48399999999674037,-2586000.0,-6252000.0,399500.0,4052.0,-1286.0,6026.0,3.285897970199585,-112.55113220214844,399983.0
2161,49362,83,69,23592,0,341,150287,0.7339999999967404,-2585000.0,-6253000.0,401000.0,4053.0,-1285.0,6026.0,3.285897970199585,-112.55113220214844,399983.0
2161,49363,83,69,39976,0,341,150287,0.9839999999967404,-2584000.0,-6253000.0,402500.0,4054.0,-1283.0,6025.0,3.285897970199585,-112.55113220214844,399983.0
2161,49364,83,69,56360,0,341,150288,0.23399999999674037,-2583000.0,-6253000.0,404000.0,4055.0,-1281.0,6025.0,3.285897970199585,-112.55113220214844,399983.0
2161,49365,83,70,7208,0,341,150288,0.48399999999674037,-2582000.0,-6254000.0,405500.0,4055.0,-1279.0,6025.0,3.285897970199585,-112.55113220214844,399983.0
2161,49366,83,70,23592,0,341,150288,0.7339999999967404,-2581000.0,-6254000.0,407000.0,4056.0,-1277.0,6025.0,3.285897970199585,-112.55113220214844,399983.0
2161,49367,83,70,39976,0,341,150288,0.9839999999967404,-2580000.0,-6254000.0,408400.0,4057.0,-1275.0,6025.0,3.285897970199585,-112.55113220214844,399983.0
2161,49368,83,70,56360,0,341,150289,0.23399999999674037,-2579000.0,-6255000.0,409900.0,4058.0,-1274.0,6025.0,3.285897970199585,-112.55113220214844,399983.0
2161,49369,83,71,7208,0,341,150289,0.48399999999674037,-2578000.0,-6255000.0,411400.0,4058.0,-1272.0,6025.0,3.285897970199585,-112.55113220214844,399983.0
2161,49370,83,71,23592,0,341,150289,0.48399999999674037,-2578000.0,-6255000.0,411400.0,4058.0,-1272.0,6025.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49371,83,71,56360,0,341,150290,0.23399999999674037,-2575000.0,-6256000.0,415900.0,4061.0,-1266.0,6024.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49372,83,72,7208,0,341,150290,0.48399999999674037,-2574000.0,-6256000.0,417400.0,4062.0,-1264.0,6024.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49373,83,72,23592,0,341,150290,0.7339999999967404,-2573000.0,-6257000.0,418900.0,4062.0,-1263.0,6024.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49374,83,72,39976,0,341,150290,0.9839999999967404,-2572000.0,-6257000.0,420400.0,4063.0,-1261.0,6024.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49375,83,72,56360,0,341,150291,0.23399999999674037,-2571000.0,-6257000.0,421900.0,4064.0,-1259.0,6024.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49376,83,73,7208,0,341,150291,0.48399999999674037,-2570000.0,-6258000.0,423400.0,4065.0,-1257.0,6024.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49377,83,73,23592,0,341,150291,0.7339999999967404,-2569000.0,-6258000.0,424900.0,4065.0,-1255.0,6023.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49378,83,73,39976,0,341,150291,0.9839999999967404,-2568000.0,-6258000.0,426300.0,4066.0,-1253.0,6023.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49379,83,73,56360,0,341,150292,0.23399999999674037,-2567000.0,-6258000.0,427800.0,4067.0,-1251.0,6023.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49380,83,74,7208,0,341,150292,0.48399999999674037,-2566000.0,-6259000.0,429300.0,4068.0,-1250.0,6023.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49381,83,74,23592,0,341,150292,0.7339999999967404,-2565000.0,-6259000.0,430800.0,4069.0,-1248.0,6023.0,3.5150177478790283,-112.39127349853516,399975.6875
2161,49382,83,74,39976,0,341,150292,0.9839999999967404,-2564000.0,-6259000.0,432300.0,4069.0,-1246.0,6023.0,3.5150177478790283,-112.39127349853516,399975.6875
