CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,GPS_WEEKS,GPS_SECONDS,GPS_FRAC_SECS,ECEF_X,ECEF_Y,ECEF_Z,VEL_X,VEL_Y,VEL_Z,LAT,LON,ALT
2161,50454,83,355,53739,0,341,150574,0.234,-1327000,-6315000,2060000,4765,845.9,5570,17.67448425,-101.9780655,397258.625
2161,50455,83,356,4587,0,341,150574,0.484,-1326000,-6314000,2061000,4765,847.8,5569,17.67448425,-101.9780655,397258.625
2161,50456,83,356,20971,0,341,150574,0.734,-1325000,-6314000,2063000,4766,849.6,5569,17.67448425,-101.9780655,397258.625
2161,50457,83,356,53739,0,341,150575,0.234,-1323000,-6314000,2065000,4767,853.3,5567,17.67448425,-101.9780655,397258.625
2161,50458,83,357,4587,0,341,150575,0.484,-1321000,-6314000,2067000,4767,855.2,5567,17.67448425,-101.9780655,397258.625
2161,50459,83,357,20971,0,341,150575,0.484,-1321000,-6314000,2067000,4767,855.2,5567,17.88406372,-101.8104935,397179.9063
2161,50460,83,357,37355,0,341,150575,0.984,-1319000,-6313000,2069000,4768,858.9,5565,17.88406372,-101.8104935,397179.9063
2161,50461,83,357,53739,0,341,150576,0.234,-1318000,-6313000,2071000,4769,860.7,5565,17.88406372,-101.8104935,397179.9063
2161,50462,83,358,4587,0,341,150576,0.484,-1317000,-6313000,2072000,4769,862.5,5564,17.88406372,-101.8104935,397179.9063
2161,50463,83,358,20971,0,341,150576,0.734,-1315000,-6312000,2074000,4770,864.4,5563,17.88406372,-101.8104935,397179.9063
2161,50464,83,358,37355,0,341,150576,0.984,-1314000,-6312000,2075000,4770,866.2,5563,17.88406372,-101.8104935,397179.9063
2161,50465,83,358,53739,0,341,150577,0.234,-1313000,-6312000,2076000,4770,868.1,5562,17.88406372,-101.8104935,397179.9063
2161,50466,83,359,4587,0,341,150577,0.484,-1312000,-6312000,2078000,4771,869.9,5561,17.88406372,-101.8104935,397179.9063
2161,50467,83,359,20971,0,341,150577,0.734,-1311000,-6312000,2079000,4771,871.8,5561,17.88406372,-101.8104935,397179.9063
2161,50468,83,359,37355,0,341,150577,0.984,-1310000,-6311000,2081000,4772,873.6,5560,17.88406372,-101.8104935,397179.9063
2161,50469,83,359,53739,0,341,150578,0.234,-1308000,-6311000,2082000,4772,875.5,5559,17.88406372,-101.8104935,397179.9063
2161,50470,83,360,4587,0,341,150578,0.484,-1307000,-6311000,2083000,4773,877.3,5559,17.88406372,-101.8104935,397179.9063
2161,50471,83,360,20971,0,341,150578,0.734,-1306000,-6311000,2085000,4773,879.1,5558,17.88406372,-101.8104935,397179.9063
2161,50472,83,360,37355,0,341,150578,0.984,-1305000,-6311000,2086000,4774,881,5557,17.88406372,-101.8104935,397179.9063
2161,50473,83,360,53739,0,341,150579,0.234,-1304000,-6310000,2087000,4774,882.8,5557,17.88406372,-101.8104935,397179.9063
2161,50474,83,361,4587,0,341,150579,0.484,-1302000,-6310000,2089000,4774,884.6,5556,17.88406372,-101.8104935,397179.9063
2161,50475,83,361,20971,0,341,150579,0.484,-1302000,-6310000,2089000,4774,884.6,5556,18.08111954,-101.6524887,397113.2813
2161,50476,83,361,37355,0,341,150579,0.984,-1300000,-6310000,2092000,4775,888.4,5555,18.08111954,-101.6524887,397113.2813
2161,50477,83,361,53739,0,341,150580,0.234,-1299000,-6309000,2093000,4776,890.2,5554,18.08111954,-101.6524887,397113.2813
2161,50478,83,362,4587,0,341,150580,0.234,-1299000,-6309000,2093000,4776,890.2,5554,18.1179657,-101.6228714,397099.9063
2161,50479,83,362,20971,0,341,150580,0.234,-1299000,-6309000,2093000,4776,890.2,5554,18.13036537,-101.612915,397093.5625
2161,50480,83,362,37355,0,341,150580,0.984,-1295000,-6309000,2097000,4777,895.7,5552,18.13036537,-101.612915,397093.5625
